x,y,z,label,source
0.2874829,1.15477,-0.3529823,0,HeadPositionNS
0.2874463,1.154765,-0.3529961,0,HeadPositionNS
0.2874395,1.15476,-0.3530184,0,HeadPositionNS
0.2874206,1.154738,-0.3530411,0,HeadPositionNS
0.2874228,1.154712,-0.3530379,0,HeadPositionNS
0.287432,1.154662,-0.3530082,0,HeadPositionNS
0.2874455,1.154607,-0.3529858,0,HeadPositionNS
0.2874433,1.154602,-0.3530109,0,HeadPositionNS
0.287452,1.154604,-0.3530461,0,HeadPositionNS
0.2874484,1.154595,-0.3530423,0,HeadPositionNS
0.2874416,1.15463,-0.3530218,0,HeadPositionNS
0.2874526,1.154709,-0.3529972,0,HeadPositionNS
0.2874621,1.154778,-0.3529828,0,HeadPositionNS
0.2874872,1.154819,-0.3529834,0,HeadPositionNS
0.2875142,1.154853,-0.3529984,0,HeadPositionNS
0.287556,1.154858,-0.3529968,0,HeadPositionNS
0.2875776,1.154803,-0.3529772,0,HeadPositionNS
0.2876083,1.154737,-0.352966,0,HeadPositionNS
0.2876064,1.154706,-0.3529963,0,HeadPositionNS
0.2875932,1.154689,-0.3530348,0,HeadPositionNS
0.2875803,1.154701,-0.3530647,0,HeadPositionNS
0.2875683,1.154686,-0.3530643,0,HeadPositionNS
0.287559,1.154677,-0.3530616,0,HeadPositionNS
0.2875292,1.154662,-0.3530466,0,HeadPositionNS
0.2875286,1.154651,-0.3530425,0,HeadPositionNS
0.2875106,1.154662,-0.3530411,0,HeadPositionNS
0.2875348,1.154663,-0.3530509,0,HeadPositionNS
0.2875507,1.154666,-0.3530435,0,HeadPositionNS
0.2875735,1.154687,-0.3530446,0,HeadPositionNS
0.2875972,1.154742,-0.3530299,0,HeadPositionNS
0.2876129,1.154767,-0.3530253,0,HeadPositionNS
0.2876407,1.154786,-0.3530188,0,HeadPositionNS
0.2876697,1.154778,-0.3530127,0,HeadPositionNS
0.2877132,1.154751,-0.352983,0,HeadPositionNS
0.2877673,1.154713,-0.3529347,0,HeadPositionNS
0.2878039,1.154659,-0.3528906,0,HeadPositionNS
0.2878293,1.154632,-0.352871,0,HeadPositionNS
0.2878535,1.154613,-0.3528463,0,HeadPositionNS
0.287873,1.154598,-0.3528456,0,HeadPositionNS
0.2878708,1.154616,-0.3528853,0,HeadPositionNS
0.2878841,1.154638,-0.3528834,0,HeadPositionNS
0.2879116,1.154643,-0.3528622,0,HeadPositionNS
0.287942,1.154668,-0.3528407,0,HeadPositionNS
0.2879575,1.154663,-0.3528067,0,HeadPositionNS
0.2879563,1.154658,-0.3527678,0,HeadPositionNS
0.2879547,1.15466,-0.3527354,0,HeadPositionNS
0.2879469,1.154655,-0.352722,0,HeadPositionNS
0.2879223,1.154644,-0.3527078,0,HeadPositionNS
0.2878739,1.154602,-0.3526964,0,HeadPositionNS
0.287838,1.154582,-0.3526581,0,HeadPositionNS
0.2877992,1.154555,-0.3526393,0,HeadPositionNS
0.2877372,1.15452,-0.3526312,0,HeadPositionNS
0.2876575,1.154491,-0.3526398,0,HeadPositionNS
0.2875965,1.154453,-0.3526395,0,HeadPositionNS
0.2875563,1.15445,-0.3526284,0,HeadPositionNS
0.2875237,1.154463,-0.3526256,0,HeadPositionNS
0.2874783,1.154474,-0.3526101,0,HeadPositionNS
0.2874185,1.154513,-0.3526007,0,HeadPositionNS
0.2873813,1.15454,-0.3525967,0,HeadPositionNS
0.2873571,1.154568,-0.3526011,0,HeadPositionNS
0.2873353,1.154585,-0.3526097,0,HeadPositionNS
0.2873038,1.154599,-0.3526022,0,HeadPositionNS
0.2872769,1.154582,-0.3525999,0,HeadPositionNS
0.2872748,1.154567,-0.3526114,0,HeadPositionNS
